"Statistic","Year","County","School Programme","UNIT","VALUE"
"Classes in National Schools","1996","Waterford County","Pupils in special national schools","Number","5"
"Classes in National Schools","1996","Galway City","All first level school programmes","Number","270"
"Classes in National Schools","1996","Galway City","All mainstream national school programmes","Number","231"
"Classes in National Schools","1996","Galway City","Pupils with special needs in mainstream national schools","Number","16"
"Classes in National Schools","1996","Galway City","Pupils in special national schools","Number","23"
"Classes in National Schools","1996","Galway County","All first level school programmes","Number","771"
"Classes in National Schools","1996","Galway County","All mainstream national school programmes","Number","754"
"Classes in National Schools","1996","Galway County","Pupils with special needs in mainstream national schools","Number","17"
"Classes in National Schools","1996","Galway County","Pupils in special national schools","Number",""
"Classes in National Schools","1996","Leitrim","All first level school programmes","Number","137"
"Classes in National Schools","1996","Leitrim","All mainstream national school programmes","Number","135"
"Classes in National Schools","1996","Leitrim","Pupils with special needs in mainstream national schools","Number","2"
"Classes in National Schools","1996","Leitrim","Pupils in special national schools","Number","0"
"Classes in National Schools","1996","Mayo","All first level school programmes","Number","687"
"Classes in National Schools","1996","Mayo","All mainstream national school programmes","Number","662"
"Classes in National Schools","1996","Mayo","Pupils with special needs in mainstream national schools","Number","8"
"Classes in National Schools","1996","Mayo","Pupils in special national schools","Number","17"
"Classes in National Schools","1996","Roscommon","All first level school programmes","Number","292"
"Classes in National Schools","1996","Roscommon","All mainstream national school programmes","Number","284"
"Classes in National Schools","1996","Roscommon","Pupils with special needs in mainstream national schools","Number","4"
"Classes in National Schools","1996","Roscommon","Pupils in special national schools","Number","4"
"Classes in National Schools","1996","Sligo","All first level school programmes","Number","297"
"Classes in National Schools","1996","Sligo","All mainstream national school programmes","Number","286"
"Classes in National Schools","1996","Sligo","Pupils with special needs in mainstream national schools","Number","2"
"Classes in National Schools","1996","Sligo","Pupils in special national schools","Number","9"
"Classes in National Schools","1996","Cavan","All first level school programmes","Number","332"
"Classes in National Schools","1996","Cavan","All mainstream national school programmes","Number","315"
"Classes in National Schools","1996","Cavan","Pupils with special needs in mainstream national schools","Number","9"
"Classes in National Schools","1996","Cavan","Pupils in special national schools","Number","8"
"Classes in National Schools","1996","Donegal","All first level school programmes","Number","750"
"Classes in National Schools","1996","Donegal","All mainstream national school programmes","Number","729"
"Classes in National Schools","1996","Donegal","Pupils with special needs in mainstream national schools","Number","11"
"Classes in National Schools","1996","Donegal","Pupils in special national schools","Number","10"
"Classes in National Schools","1996","Monaghan","All first level school programmes","Number","292"
"Classes in National Schools","1996","Monaghan","All mainstream national school programmes","Number","284"
"Classes in National Schools","1996","Monaghan","Pupils with special needs in mainstream national schools","Number","6"
"Classes in National Schools","1996","Monaghan","Pupils in special national schools","Number","2"
"Classes in National Schools","1997","All Counties","All first level school programmes","Number","18461"
"Classes in National Schools","1997","All Counties","All mainstream national school programmes","Number","17176"
"Classes in National Schools","1997","All Counties","Pupils with special needs in mainstream national schools","Number","476"
"Classes in National Schools","1997","All Counties","Pupils in special national schools","Number","809"
"Classes in National Schools","1997","Carlow","All first level school programmes","Number","232"
"Classes in National Schools","1997","Carlow","All mainstream national school programmes","Number","219"
"Classes in National Schools","1997","Carlow","Pupils with special needs in mainstream national schools","Number","2"
"Classes in National Schools","1997","Carlow","Pupils in special national schools","Number","11"
"Classes in National Schools","1997","Dublin City","All first level school programmes","Number","2052"
"Classes in National Schools","1997","Dublin City","All mainstream national school programmes","Number","1704"
"Classes in National Schools","1997","Dublin City","Pupils with special needs in mainstream national schools","Number","80"
"Classes in National Schools","1997","Dublin City","Pupils in special national schools","Number","268"
"Classes in National Schools","1997","South Dublin","All first level school programmes","Number","1137"
"Classes in National Schools","1997","South Dublin","All mainstream national school programmes","Number","1038"
"Classes in National Schools","1997","South Dublin","Pupils with special needs in mainstream national schools","Number","63"
"Classes in National Schools","1997","South Dublin","Pupils in special national schools","Number","36"
"Classes in National Schools","1997","Fingal","All first level school programmes","Number","824"
"Classes in National Schools","1997","Fingal","All mainstream national school programmes","Number","774"
"Classes in National Schools","1997","Fingal","Pupils with special needs in mainstream national schools","Number","22"
"Classes in National Schools","1997","Fingal","Pupils in special national schools","Number","28"
"Classes in National Schools","1997","Dún Laoghaire-Rathdown","All first level school programmes","Number","631"
"Classes in National Schools","1997","Dún Laoghaire-Rathdown","All mainstream national school programmes","Number","583"
"Classes in National Schools","1997","Dún Laoghaire-Rathdown","Pupils with special needs in mainstream national schools","Number","11"
"Classes in National Schools","1997","Dún Laoghaire-Rathdown","Pupils in special national schools","Number","37"
"Classes in National Schools","1997","Kildare","All first level school programmes","Number","696"
"Classes in National Schools","1997","Kildare","All mainstream national school programmes","Number","665"
"Classes in National Schools","1997","Kildare","Pupils with special needs in mainstream national schools","Number","10"
"Classes in National Schools","1997","Kildare","Pupils in special national schools","Number","21"
"Classes in National Schools","1997","Kilkenny","All first level school programmes","Number","390"
"Classes in National Schools","1997","Kilkenny","All mainstream national school programmes","Number","369"
"Classes in National Schools","1997","Kilkenny","Pupils with special needs in mainstream national schools","Number","2"
"Classes in National Schools","1997","Kilkenny","Pupils in special national schools","Number","19"
"Classes in National Schools","1997","Laois","All first level school programmes","Number","283"
"Classes in National Schools","1997","Laois","All mainstream national school programmes","Number","270"
"Classes in National Schools","1997","Laois","Pupils with special needs in mainstream national schools","Number","4"
"Classes in National Schools","1997","Laois","Pupils in special national schools","Number","9"
"Classes in National Schools","1997","Longford","All first level school programmes","Number","176"
"Classes in National Schools","1997","Longford","All mainstream national school programmes","Number","165"
"Classes in National Schools","1997","Longford","Pupils with special needs in mainstream national schools","Number","7"
"Classes in National Schools","1997","Longford","Pupils in special national schools","Number","4"
"Classes in National Schools","1997","Louth","All first level school programmes","Number","485"
"Classes in National Schools","1997","Louth","All mainstream national school programmes","Number","455"
"Classes in National Schools","1997","Louth","Pupils with special needs in mainstream national schools","Number","6"
"Classes in National Schools","1997","Louth","Pupils in special national schools","Number","24"
"Classes in National Schools","1997","Meath","All first level school programmes","Number","590"
"Classes in National Schools","1997","Meath","All mainstream national school programmes","Number","563"
"Classes in National Schools","1997","Meath","Pupils with special needs in mainstream national schools","Number","9"
"Classes in National Schools","1997","Meath","Pupils in special national schools","Number","18"
"Classes in National Schools","1997","Offaly","All first level school programmes","Number","345"
"Classes in National Schools","1997","Offaly","All mainstream national school programmes","Number","328"
"Classes in National Schools","1997","Offaly","Pupils with special needs in mainstream national schools","Number","17"
"Classes in National Schools","1997","Offaly","Pupils in special national schools","Number",""
"Classes in National Schools","1997","Westmeath","All first level school programmes","Number","365"
"Classes in National Schools","1997","Westmeath","All mainstream national school programmes","Number","338"
"Classes in National Schools","1997","Westmeath","Pupils with special needs in mainstream national schools","Number","11"
"Classes in National Schools","1997","Westmeath","Pupils in special national schools","Number","16"
"Classes in National Schools","1997","Wexford","All first level school programmes","Number","573"
"Classes in National Schools","1997","Wexford","All mainstream national school programmes","Number","539"
"Classes in National Schools","1997","Wexford","Pupils with special needs in mainstream national schools","Number","16"
"Classes in National Schools","1997","Wexford","Pupils in special national schools","Number","18"
"Classes in National Schools","1997","Wicklow","All first level school programmes","Number","532"
"Classes in National Schools","1997","Wicklow","All mainstream national school programmes","Number","495"
"Classes in National Schools","1997","Wicklow","Pupils with special needs in mainstream national schools","Number","12"
"Classes in National Schools","1997","Wicklow","Pupils in special national schools","Number","25"
"Classes in National Schools","1997","Clare","All first level school programmes","Number","502"
"Classes in National Schools","1997","Clare","All mainstream national school programmes","Number","474"
"Classes in National Schools","1997","Clare","Pupils with special needs in mainstream national schools","Number","15"
"Classes in National Schools","1997","Clare","Pupils in special national schools","Number","13"
"Classes in National Schools","1997","Cork City","All first level school programmes","Number","652"
"Classes in National Schools","1997","Cork City","All mainstream national school programmes","Number","593"
"Classes in National Schools","1997","Cork City","Pupils with special needs in mainstream national schools","Number","17"
"Classes in National Schools","1997","Cork City","Pupils in special national schools","Number","42"
"Classes in National Schools","1997","Cork County","All first level school programmes","Number","1425"
"Classes in National Schools","1997","Cork County","All mainstream national school programmes","Number","1381"
"Classes in National Schools","1997","Cork County","Pupils with special needs in mainstream national schools","Number","14"
"Classes in National Schools","1997","Cork County","Pupils in special national schools","Number","30"
"Classes in National Schools","1997","Kerry","All first level school programmes","Number","658"
"Classes in National Schools","1997","Kerry","All mainstream national school programmes","Number","613"
"Classes in National Schools","1997","Kerry","Pupils with special needs in mainstream national schools","Number","22"
"Classes in National Schools","1997","Kerry","Pupils in special national schools","Number","23"
"Classes in National Schools","1997","Limerick","All first level school programmes","Number",""
"Classes in National Schools","1997","Limerick","All mainstream national school programmes","Number",""
"Classes in National Schools","1997","Limerick","Pupils with special needs in mainstream national schools","Number",""
"Classes in National Schools","1997","Limerick","Pupils in special national schools","Number",""
"Classes in National Schools","1997","Limerick City","All first level school programmes","Number","298"
"Classes in National Schools","1997","Limerick City","All mainstream national school programmes","Number","267"
"Classes in National Schools","1997","Limerick City","Pupils with special needs in mainstream national schools","Number","7"
"Classes in National Schools","1997","Limerick City","Pupils in special national schools","Number","24"
"Classes in National Schools","1997","Limerick County","All first level school programmes","Number","582"
"Classes in National Schools","1997","Limerick County","All mainstream national school programmes","Number","553"
"Classes in National Schools","1997","Limerick County","Pupils with special needs in mainstream national schools","Number","12"
"Classes in National Schools","1997","Limerick County","Pupils in special national schools","Number","17"
"Classes in National Schools","1997","Tipperary","All first level school programmes","Number","756"
"Classes in National Schools","1997","Tipperary","All mainstream national school programmes","Number","695"
"Classes in National Schools","1997","Tipperary","Pupils with special needs in mainstream national schools","Number","33"
"Classes in National Schools","1997","Tipperary","Pupils in special national schools","Number","28"
"Classes in National Schools","1997","Waterford","All first level school programmes","Number",""
"Classes in National Schools","1997","Waterford","All mainstream national school programmes","Number",""
"Classes in National Schools","1997","Waterford","Pupils with special needs in mainstream national schools","Number",""
"Classes in National Schools","1997","Waterford","Pupils in special national schools","Number",""
"Classes in National Schools","1997","Waterford City","All first level school programmes","Number","220"
"Classes in National Schools","1997","Waterford City","All mainstream national school programmes","Number","196"
"Classes in National Schools","1997","Waterford City","Pupils with special needs in mainstream national schools","Number","4"
"Classes in National Schools","1997","Waterford City","Pupils in special national schools","Number","20"
"Classes in National Schools","1997","Waterford County","All first level school programmes","Number","260"
"Classes in National Schools","1997","Waterford County","All mainstream national school programmes","Number","254"
"Classes in National Schools","1997","Waterford County","Pupils with special needs in mainstream national schools","Number","1"
"Classes in National Schools","1997","Waterford County","Pupils in special national schools","Number","5"
"Classes in National Schools","1997","Galway City","All first level school programmes","Number","270"
"Classes in National Schools","1997","Galway City","All mainstream national school programmes","Number","230"
"Classes in National Schools","1997","Galway City","Pupils with special needs in mainstream national schools","Number","17"
"Classes in National Schools","1997","Galway City","Pupils in special national schools","Number","23"
"Classes in National Schools","1997","Galway County","All first level school programmes","Number","761"
"Classes in National Schools","1997","Galway County","All mainstream national school programmes","Number","743"
"Classes in National Schools","1997","Galway County","Pupils with special needs in mainstream national schools","Number","18"
"Classes in National Schools","1997","Galway County","Pupils in special national schools","Number",""
"Classes in National Schools","1997","Leitrim","All first level school programmes","Number","136"
"Classes in National Schools","1997","Leitrim","All mainstream national school programmes","Number","134"
"Classes in National Schools","1997","Leitrim","Pupils with special needs in mainstream national schools","Number","2"
"Classes in National Schools","1997","Leitrim","Pupils in special national schools","Number","0"
"Classes in National Schools","1997","Mayo","All first level school programmes","Number","676"
"Classes in National Schools","1997","Mayo","All mainstream national school programmes","Number","650"
"Classes in National Schools","1997","Mayo","Pupils with special needs in mainstream national schools","Number","9"
"Classes in National Schools","1997","Mayo","Pupils in special national schools","Number","17"
"Classes in National Schools","1997","Roscommon","All first level school programmes","Number","296"
"Classes in National Schools","1997","Roscommon","All mainstream national school programmes","Number","287"
"Classes in National Schools","1997","Roscommon","Pupils with special needs in mainstream national schools","Number","5"
"Classes in National Schools","1997","Roscommon","Pupils in special national schools","Number","4"
"Classes in National Schools","1997","Sligo","All first level school programmes","Number","297"
"Classes in National Schools","1997","Sligo","All mainstream national school programmes","Number","286"
"Classes in National Schools","1997","Sligo","Pupils with special needs in mainstream national schools","Number","2"
"Classes in National Schools","1997","Sligo","Pupils in special national schools","Number","9"
"Classes in National Schools","1997","Cavan","All first level school programmes","Number","327"
"Classes in National Schools","1997","Cavan","All mainstream national school programmes","Number","310"
"Classes in National Schools","1997","Cavan","Pupils with special needs in mainstream national schools","Number","9"
"Classes in National Schools","1997","Cavan","Pupils in special national schools","Number","8"
"Classes in National Schools","1997","Donegal","All first level school programmes","Number","745"
"Classes in National Schools","1997","Donegal","All mainstream national school programmes","Number","724"
"Classes in National Schools","1997","Donegal","Pupils with special needs in mainstream national schools","Number","11"
"Classes in National Schools","1997","Donegal","Pupils in special national schools","Number","10"
"Classes in National Schools","1997","Monaghan","All first level school programmes","Number","289"
"Classes in National Schools","1997","Monaghan","All mainstream national school programmes","Number","281"
"Classes in National Schools","1997","Monaghan","Pupils with special needs in mainstream national schools","Number","6"
"Classes in National Schools","1997","Monaghan","Pupils in special national schools","Number","2"
"Classes in National Schools","1998","All Counties","All first level school programmes","Number","18576"
"Classes in National Schools","1998","All Counties","All mainstream national school programmes","Number","17123"
"Classes in National Schools","1998","All Counties","Pupils with special needs in mainstream national schools","Number","624"
"Classes in National Schools","1998","All Counties","Pupils in special national schools","Number","829"
"Classes in National Schools","1998","Carlow","All first level school programmes","Number","229"
"Classes in National Schools","1998","Carlow","All mainstream national school programmes","Number","213"
"Classes in National Schools","1998","Carlow","Pupils with special needs in mainstream national schools","Number","5"
"Classes in National Schools","1998","Carlow","Pupils in special national schools","Number","11"
"Classes in National Schools","1998","Dublin City","All first level school programmes","Number","2110"
"Classes in National Schools","1998","Dublin City","All mainstream national school programmes","Number","1736"
"Classes in National Schools","1998","Dublin City","Pupils with special needs in mainstream national schools","Number","103"
"Classes in National Schools","1998","Dublin City","Pupils in special national schools","Number","271"
"Classes in National Schools","1998","South Dublin","All first level school programmes","Number","1176"
"Classes in National Schools","1998","South Dublin","All mainstream national school programmes","Number","1043"
"Classes in National Schools","1998","South Dublin","Pupils with special needs in mainstream national schools","Number","86"
"Classes in National Schools","1998","South Dublin","Pupils in special national schools","Number","47"
"Classes in National Schools","1998","Fingal","All first level school programmes","Number","841"
"Classes in National Schools","1998","Fingal","All mainstream national school programmes","Number","775"
"Classes in National Schools","1998","Fingal","Pupils with special needs in mainstream national schools","Number","36"
"Classes in National Schools","1998","Fingal","Pupils in special national schools","Number","30"
"Classes in National Schools","1998","Dún Laoghaire-Rathdown","All first level school programmes","Number","647"
"Classes in National Schools","1998","Dún Laoghaire-Rathdown","All mainstream national school programmes","Number","600"
"Classes in National Schools","1998","Dún Laoghaire-Rathdown","Pupils with special needs in mainstream national schools","Number","16"
"Classes in National Schools","1998","Dún Laoghaire-Rathdown","Pupils in special national schools","Number","31"
"Classes in National Schools","1998","Kildare","All first level school programmes","Number","705"
"Classes in National Schools","1998","Kildare","All mainstream national school programmes","Number","672"
"Classes in National Schools","1998","Kildare","Pupils with special needs in mainstream national schools","Number","11"
"Classes in National Schools","1998","Kildare","Pupils in special national schools","Number","22"
"Classes in National Schools","1998","Kilkenny","All first level school programmes","Number","389"
"Classes in National Schools","1998","Kilkenny","All mainstream national school programmes","Number","368"
"Classes in National Schools","1998","Kilkenny","Pupils with special needs in mainstream national schools","Number","3"
"Classes in National Schools","1998","Kilkenny","Pupils in special national schools","Number","18"
"Classes in National Schools","1998","Laois","All first level school programmes","Number","287"
"Classes in National Schools","1998","Laois","All mainstream national school programmes","Number","272"
"Classes in National Schools","1998","Laois","Pupils with special needs in mainstream national schools","Number","6"
"Classes in National Schools","1998","Laois","Pupils in special national schools","Number","9"
"Classes in National Schools","1998","Longford","All first level school programmes","Number","172"
"Classes in National Schools","1998","Longford","All mainstream national school programmes","Number","161"
"Classes in National Schools","1998","Longford","Pupils with special needs in mainstream national schools","Number","7"
"Classes in National Schools","1998","Longford","Pupils in special national schools","Number","4"
"Classes in National Schools","1998","Louth","All first level school programmes","Number","486"
"Classes in National Schools","1998","Louth","All mainstream national school programmes","Number","451"
"Classes in National Schools","1998","Louth","Pupils with special needs in mainstream national schools","Number","12"
"Classes in National Schools","1998","Louth","Pupils in special national schools","Number","23"
"Classes in National Schools","1998","Meath","All first level school programmes","Number","596"
"Classes in National Schools","1998","Meath","All mainstream national school programmes","Number","563"
"Classes in National Schools","1998","Meath","Pupils with special needs in mainstream national schools","Number","15"
"Classes in National Schools","1998","Meath","Pupils in special national schools","Number","18"
"Classes in National Schools","1998","Offaly","All first level school programmes","Number","343"
"Classes in National Schools","1998","Offaly","All mainstream national school programmes","Number","324"
"Classes in National Schools","1998","Offaly","Pupils with special needs in mainstream national schools","Number","19"
"Classes in National Schools","1998","Offaly","Pupils in special national schools","Number",""
"Classes in National Schools","1998","Westmeath","All first level school programmes","Number","363"
"Classes in National Schools","1998","Westmeath","All mainstream national school programmes","Number","333"
"Classes in National Schools","1998","Westmeath","Pupils with special needs in mainstream national schools","Number","14"
"Classes in National Schools","1998","Westmeath","Pupils in special national schools","Number","16"
"Classes in National Schools","1998","Wexford","All first level school programmes","Number","579"
"Classes in National Schools","1998","Wexford","All mainstream national school programmes","Number","538"
"Classes in National Schools","1998","Wexford","Pupils with special needs in mainstream national schools","Number","21"
"Classes in National Schools","1998","Wexford","Pupils in special national schools","Number","20"
"Classes in National Schools","1998","Wicklow","All first level school programmes","Number","536"
"Classes in National Schools","1998","Wicklow","All mainstream national school programmes","Number","491"
"Classes in National Schools","1998","Wicklow","Pupils with special needs in mainstream national schools","Number","17"
"Classes in National Schools","1998","Wicklow","Pupils in special national schools","Number","28"
"Classes in National Schools","1998","Clare","All first level school programmes","Number","505"
"Classes in National Schools","1998","Clare","All mainstream national school programmes","Number","471"
"Classes in National Schools","1998","Clare","Pupils with special needs in mainstream national schools","Number","20"
"Classes in National Schools","1998","Clare","Pupils in special national schools","Number","14"
"Classes in National Schools","1998","Cork City","All first level school programmes","Number","665"
"Classes in National Schools","1998","Cork City","All mainstream national school programmes","Number","600"
"Classes in National Schools","1998","Cork City","Pupils with special needs in mainstream national schools","Number","22"
"Classes in National Schools","1998","Cork City","Pupils in special national schools","Number","43"
"Classes in National Schools","1998","Cork County","All first level school programmes","Number","1422"
"Classes in National Schools","1998","Cork County","All mainstream national school programmes","Number","1369"
"Classes in National Schools","1998","Cork County","Pupils with special needs in mainstream national schools","Number","23"
"Classes in National Schools","1998","Cork County","Pupils in special national schools","Number","30"
"Classes in National Schools","1998","Kerry","All first level school programmes","Number","651"
"Classes in National Schools","1998","Kerry","All mainstream national school programmes","Number","602"
"Classes in National Schools","1998","Kerry","Pupils with special needs in mainstream national schools","Number","24"
"Classes in National Schools","1998","Kerry","Pupils in special national schools","Number","25"
"Classes in National Schools","1998","Limerick","All first level school programmes","Number",""
"Classes in National Schools","1998","Limerick","All mainstream national school programmes","Number",""
"Classes in National Schools","1998","Limerick","Pupils with special needs in mainstream national schools","Number",""
"Classes in National Schools","1998","Limerick","Pupils in special national schools","Number",""
"Classes in National Schools","1998","Limerick City","All first level school programmes","Number","312"
"Classes in National Schools","1998","Limerick City","All mainstream national school programmes","Number","280"
"Classes in National Schools","1998","Limerick City","Pupils with special needs in mainstream national schools","Number","9"
"Classes in National Schools","1998","Limerick City","Pupils in special national schools","Number","23"
"Classes in National Schools","1998","Limerick County","All first level school programmes","Number","579"
"Classes in National Schools","1998","Limerick County","All mainstream national school programmes","Number","545"
"Classes in National Schools","1998","Limerick County","Pupils with special needs in mainstream national schools","Number","16"
"Classes in National Schools","1998","Limerick County","Pupils in special national schools","Number","18"
"Classes in National Schools","1998","Tipperary","All first level school programmes","Number","743"
"Classes in National Schools","1998","Tipperary","All mainstream national school programmes","Number","678"
"Classes in National Schools","1998","Tipperary","Pupils with special needs in mainstream national schools","Number","34"
"Classes in National Schools","1998","Tipperary","Pupils in special national schools","Number","31"
"Classes in National Schools","1998","Waterford","All first level school programmes","Number",""
"Classes in National Schools","1998","Waterford","All mainstream national school programmes","Number",""
"Classes in National Schools","1998","Waterford","Pupils with special needs in mainstream national schools","Number",""
"Classes in National Schools","1998","Waterford","Pupils in special national schools","Number",""
"Classes in National Schools","1998","Waterford City","All first level school programmes","Number","220"
"Classes in National Schools","1998","Waterford City","All mainstream national school programmes","Number","193"
"Classes in National Schools","1998","Waterford City","Pupils with special needs in mainstream national schools","Number","6"
"Classes in National Schools","1998","Waterford City","Pupils in special national schools","Number","21"
"Classes in National Schools","1998","Waterford County","All first level school programmes","Number","260"
"Classes in National Schools","1998","Waterford County","All mainstream national school programmes","Number","253"
"Classes in National Schools","1998","Waterford County","Pupils with special needs in mainstream national schools","Number","2"
"Classes in National Schools","1998","Waterford County","Pupils in special national schools","Number","5"
"Classes in National Schools","1998","Galway City","All first level school programmes","Number","271"
"Classes in National Schools","1998","Galway City","All mainstream national school programmes","Number","228"
"Classes in National Schools","1998","Galway City","Pupils with special needs in mainstream national schools","Number","20"
"Classes in National Schools","1998","Galway City","Pupils in special national schools","Number","23"
"Classes in National Schools","1998","Galway County","All first level school programmes","Number","757"
"Classes in National Schools","1998","Galway County","All mainstream national school programmes","Number","735"
"Classes in National Schools","1998","Galway County","Pupils with special needs in mainstream national schools","Number","22"
"Classes in National Schools","1998","Galway County","Pupils in special national schools","Number",""
"Classes in National Schools","1998","Leitrim","All first level school programmes","Number","137"
"Classes in National Schools","1998","Leitrim","All mainstream national school programmes","Number","133"
"Classes in National Schools","1998","Leitrim","Pupils with special needs in mainstream national schools","Number","4"
"Classes in National Schools","1998","Leitrim","Pupils in special national schools","Number","0"
"Classes in National Schools","1998","Mayo","All first level school programmes","Number","672"
"Classes in National Schools","1998","Mayo","All mainstream national school programmes","Number","643"
"Classes in National Schools","1998","Mayo","Pupils with special needs in mainstream national schools","Number","12"
"Classes in National Schools","1998","Mayo","Pupils in special national schools","Number","17"
"Classes in National Schools","1998","Roscommon","All first level school programmes","Number","299"
"Classes in National Schools","1998","Roscommon","All mainstream national school programmes","Number","287"
"Classes in National Schools","1998","Roscommon","Pupils with special needs in mainstream national schools","Number","7"
"Classes in National Schools","1998","Roscommon","Pupils in special national schools","Number","5"
"Classes in National Schools","1998","Sligo","All first level school programmes","Number","290"
"Classes in National Schools","1998","Sligo","All mainstream national school programmes","Number","277"
"Classes in National Schools","1998","Sligo","Pupils with special needs in mainstream national schools","Number","4"
"Classes in National Schools","1998","Sligo","Pupils in special national schools","Number","9"
"Classes in National Schools","1998","Cavan","All first level school programmes","Number","314"
"Classes in National Schools","1998","Cavan","All mainstream national school programmes","Number","299"
"Classes in National Schools","1998","Cavan","Pupils with special needs in mainstream national schools","Number","7"
"Classes in National Schools","1998","Cavan","Pupils in special national schools","Number","8"
"Classes in National Schools","1998","Donegal","All first level school programmes","Number","736"
"Classes in National Schools","1998","Donegal","All mainstream national school programmes","Number","713"
"Classes in National Schools","1998","Donegal","Pupils with special needs in mainstream national schools","Number","14"
"Classes in National Schools","1998","Donegal","Pupils in special national schools","Number","9"
"Classes in National Schools","1998","Monaghan","All first level school programmes","Number","284"
"Classes in National Schools","1998","Monaghan","All mainstream national school programmes","Number","277"
"Classes in National Schools","1998","Monaghan","Pupils with special needs in mainstream national schools","Number","7"
"Classes in National Schools","1998","Monaghan","Pupils in special national schools","Number",""
"Classes in National Schools","1999","All Counties","All first level school programmes","Number","18670"
"Classes in National Schools","1999","All Counties","All mainstream national school programmes","Number","17042"
"Classes in National Schools","1999","All Counties","Pupils with special needs in mainstream national schools","Number","754"
"Classes in National Schools","1999","All Counties","Pupils in special national schools","Number","874"
"Classes in National Schools","1999","Carlow","All first level school programmes","Number","231"
"Classes in National Schools","1999","Carlow","All mainstream national school programmes","Number","213"
"Classes in National Schools","1999","Carlow","Pupils with special needs in mainstream national schools","Number","5"
"Classes in National Schools","1999","Carlow","Pupils in special national schools","Number","13"
"Classes in National Schools","1999","Dublin City","All first level school programmes","Number","2127"
"Classes in National Schools","1999","Dublin City","All mainstream national school programmes","Number","1729"
"Classes in National Schools","1999","Dublin City","Pupils with special needs in mainstream national schools","Number","130"
"Classes in National Schools","1999","Dublin City","Pupils in special national schools","Number","268"
"Classes in National Schools","1999","South Dublin","All first level school programmes","Number","1173"
"Classes in National Schools","1999","South Dublin","All mainstream national school programmes","Number","1020"
"Classes in National Schools","1999","South Dublin","Pupils with special needs in mainstream national schools","Number","103"
"Classes in National Schools","1999","South Dublin","Pupils in special national schools","Number","50"
"Classes in National Schools","1999","Fingal","All first level school programmes","Number","836"
"Classes in National Schools","1999","Fingal","All mainstream national school programmes","Number","767"
"Classes in National Schools","1999","Fingal","Pupils with special needs in mainstream national schools","Number","37"
"Classes in National Schools","1999","Fingal","Pupils in special national schools","Number","32"
"Classes in National Schools","1999","Dún Laoghaire-Rathdown","All first level school programmes","Number","647"
"Classes in National Schools","1999","Dún Laoghaire-Rathdown","All mainstream national school programmes","Number","590"
"Classes in National Schools","1999","Dún Laoghaire-Rathdown","Pupils with special needs in mainstream national schools","Number","19"
"Classes in National Schools","1999","Dún Laoghaire-Rathdown","Pupils in special national schools","Number","38"
"Classes in National Schools","1999","Kildare","All first level school programmes","Number","715"
"Classes in National Schools","1999","Kildare","All mainstream national school programmes","Number","675"
"Classes in National Schools","1999","Kildare","Pupils with special needs in mainstream national schools","Number","17"
"Classes in National Schools","1999","Kildare","Pupils in special national schools","Number","23"
"Classes in National Schools","1999","Kilkenny","All first level school programmes","Number","384"
"Classes in National Schools","1999","Kilkenny","All mainstream national school programmes","Number","360"
"Classes in National Schools","1999","Kilkenny","Pupils with special needs in mainstream national schools","Number","5"
"Classes in National Schools","1999","Kilkenny","Pupils in special national schools","Number","19"
"Classes in National Schools","1999","Laois","All first level school programmes","Number","283"
"Classes in National Schools","1999","Laois","All mainstream national school programmes","Number","267"
"Classes in National Schools","1999","Laois","Pupils with special needs in mainstream national schools","Number","7"
"Classes in National Schools","1999","Laois","Pupils in special national schools","Number","9"
"Classes in National Schools","1999","Longford","All first level school programmes","Number","175"
"Classes in National Schools","1999","Longford","All mainstream national school programmes","Number","161"
"Classes in National Schools","1999","Longford","Pupils with special needs in mainstream national schools","Number","10"
"Classes in National Schools","1999","Longford","Pupils in special national schools","Number","4"
"Classes in National Schools","1999","Louth","All first level school programmes","Number","473"
"Classes in National Schools","1999","Louth","All mainstream national school programmes","Number","440"
"Classes in National Schools","1999","Louth","Pupils with special needs in mainstream national schools","Number","13"
"Classes in National Schools","1999","Louth","Pupils in special national schools","Number","20"
"Classes in National Schools","1999","Meath","All first level school programmes","Number","601"
"Classes in National Schools","1999","Meath","All mainstream national school programmes","Number","566"
"Classes in National Schools","1999","Meath","Pupils with special needs in mainstream national schools","Number","16"
"Classes in National Schools","1999","Meath","Pupils in special national schools","Number","19"
"Classes in National Schools","1999","Offaly","All first level school programmes","Number","342"
"Classes in National Schools","1999","Offaly","All mainstream national school programmes","Number","323"
"Classes in National Schools","1999","Offaly","Pupils with special needs in mainstream national schools","Number","19"
"Classes in National Schools","1999","Offaly","Pupils in special national schools","Number",""
"Classes in National Schools","1999","Westmeath","All first level school programmes","Number","368"
"Classes in National Schools","1999","Westmeath","All mainstream national school programmes","Number","332"
"Classes in National Schools","1999","Westmeath","Pupils with special needs in mainstream national schools","Number","20"
"Classes in National Schools","1999","Westmeath","Pupils in special national schools","Number","16"
"Classes in National Schools","1999","Wexford","All first level school programmes","Number","583"
"Classes in National Schools","1999","Wexford","All mainstream national school programmes","Number","539"
"Classes in National Schools","1999","Wexford","Pupils with special needs in mainstream national schools","Number","22"
"Classes in National Schools","1999","Wexford","Pupils in special national schools","Number","22"
"Classes in National Schools","1999","Wicklow","All first level school programmes","Number","544"
"Classes in National Schools","1999","Wicklow","All mainstream national school programmes","Number","495"
