Statistic,Year,Type of Offence,UNIT,VALUE
Recorded Crime Offences Under Reservation,2012,"Regulated betting/money, collection/trading offences",Number,296
Recorded Crime Offences Under Reservation,2012,Social code offences (n.e.c.),Number,805
Recorded Crime Offences Under Reservation,2012,"Offences against government, justice procedures and organisation of crime",Number,9429
Recorded Crime Offences Under Reservation,2012,Offences against government and its agents,Number,274
Recorded Crime Offences Under Reservation,2012,Organisation of crime and conspiracy to commit crime,Number,6
Recorded Crime Offences Under Reservation,2012,Perverting the course of justice,Number,100
Recorded Crime Offences Under Reservation,2012,"Offences while in custody, breach of court orders",Number,9049
Recorded Crime Offences Under Reservation,2013,Homicide offences,Number,96
Recorded Crime Offences Under Reservation,2013,Murder,Number,48
Recorded Crime Offences Under Reservation,2013,Manslaughter,Number,11
Recorded Crime Offences Under Reservation,2013,Infanticide,Number,0
Recorded Crime Offences Under Reservation,2013,Dangerous driving leading to death,Number,37
Recorded Crime Offences Under Reservation,2013,Sexual offences,Number,1906
Recorded Crime Offences Under Reservation,2013,Rape of a male or female,Number,392
Recorded Crime Offences Under Reservation,2013,Defilement of a boy or girl less than 17 years old,Number,87
Recorded Crime Offences Under Reservation,2013,Sexual offence involving mentally impaired person,Number,12
Recorded Crime Offences Under Reservation,2013,Aggravated sexual assault,Number,9
Recorded Crime Offences Under Reservation,2013,Sexual assault (not aggravated),Number,1279
Recorded Crime Offences Under Reservation,2013,Other sexual offences,Number,127
Recorded Crime Offences Under Reservation,2013,"Attempts/threats to murder, assaults, harassments and related offences",Number,14365
Recorded Crime Offences Under Reservation,2013,Murder-attempt,Number,12
Recorded Crime Offences Under Reservation,2013,Murder-threat,Number,334
Recorded Crime Offences Under Reservation,2013,Harassment and related offences,Number,1505
Recorded Crime Offences Under Reservation,2013,"Assault causing harm, poisoning",Number,3071
Recorded Crime Offences Under Reservation,2013,Other assault,Number,9443
Recorded Crime Offences Under Reservation,2013,Dangerous or negligent acts,Number,7491
Recorded Crime Offences Under Reservation,2013,Dangerous driving causing serious bodily harm,Number,12
Recorded Crime Offences Under Reservation,2013,Driving/in charge of a vehicle while over legal alcohol limit,Number,6748
Recorded Crime Offences Under Reservation,2013,Driving/in charge of a vehicle under the influence of drugs,Number,265
Recorded Crime Offences Under Reservation,2013,Endangerment with potential for serious harm/death,Number,69
Recorded Crime Offences Under Reservation,2013,"Abandoning a child, child neglect and cruelty",Number,226
Recorded Crime Offences Under Reservation,2013,Unseaworthy/dangerous use of boat or ship,Number,2
Recorded Crime Offences Under Reservation,2013,False alarm/interference with aircraft or air transport facilities,Number,4
Recorded Crime Offences Under Reservation,2013,Endangering traffic offences,Number,165
Recorded Crime Offences Under Reservation,2013,Kidnapping and related offences,Number,121
Recorded Crime Offences Under Reservation,2013,False imprisonment,Number,80
Recorded Crime Offences Under Reservation,2013,Abduction of person under 16 years of age,Number,25
Recorded Crime Offences Under Reservation,2013,Human trafficking offences,Number,16
Recorded Crime Offences Under Reservation,2013,"Robbery, extortion and hijacking offences",Number,2796
Recorded Crime Offences Under Reservation,2013,Robbery of an establishment or institution,Number,988
Recorded Crime Offences Under Reservation,2013,Robbery of cash or goods in transit,Number,39
Recorded Crime Offences Under Reservation,2013,Robbery from the person,Number,1678
Recorded Crime Offences Under Reservation,2013,Blackmail or extortion,Number,25
Recorded Crime Offences Under Reservation,2013,"Carjacking, hijacking/unlawful seizure of aircraft/vessel",Number,66
Recorded Crime Offences Under Reservation,2013,Burglary and related offences,Number,26312
Recorded Crime Offences Under Reservation,2013,Aggravated burglary,Number,299
Recorded Crime Offences Under Reservation,2013,Burglary (not aggravated),Number,25331
Recorded Crime Offences Under Reservation,2013,"Possession of an article (with intent to burgle, steal, demand)",Number,682
Recorded Crime Offences Under Reservation,2013,Theft and related offences,Number,78425
Recorded Crime Offences Under Reservation,2013,Theft/taking of vehicle and related offences,Number,7360
Recorded Crime Offences Under Reservation,2013,Theft from person,Number,6469
Recorded Crime Offences Under Reservation,2013,Theft from shop,Number,20554
Recorded Crime Offences Under Reservation,2013,"Other thefts, handling stolen property",Number,44042
Recorded Crime Offences Under Reservation,2013,"Fraud, deception and related offences",Number,4791
Recorded Crime Offences Under Reservation,2013,Controlled drug offences,Number,15325
Recorded Crime Offences Under Reservation,2013,Importation of drugs,Number,44
Recorded Crime Offences Under Reservation,2013,Cultivation or manufacture of drugs,Number,390
Recorded Crime Offences Under Reservation,2013,Possession of drugs for sale or supply,Number,3240
Recorded Crime Offences Under Reservation,2013,Possession of drugs for personal use,Number,11161
Recorded Crime Offences Under Reservation,2013,Other drug offences,Number,490
Recorded Crime Offences Under Reservation,2013,Weapons and Explosives Offences,Number,2737
Recorded Crime Offences Under Reservation,2013,"Explosives, chemical weapons offences",Number,59
Recorded Crime Offences Under Reservation,2013,Discharging a firearm,Number,162
Recorded Crime Offences Under Reservation,2013,Possession of a firearm,Number,192
Recorded Crime Offences Under Reservation,2013,Offensive weapons offences (n.e.c.),Number,2178
Recorded Crime Offences Under Reservation,2013,Fireworks offences,Number,146
Recorded Crime Offences Under Reservation,2013,Damage to property and to the environment,Number,28692
Recorded Crime Offences Under Reservation,2013,Arson,Number,1914
Recorded Crime Offences Under Reservation,2013,Criminal damage (not arson),Number,26561
Recorded Crime Offences Under Reservation,2013,Litter offences,Number,217
Recorded Crime Offences Under Reservation,2013,Public order and other social code offences,Number,36395
Recorded Crime Offences Under Reservation,2013,Disorderly conduct,Number,30809
Recorded Crime Offences Under Reservation,2013,Trespass offences,Number,2941
Recorded Crime Offences Under Reservation,2013,Liquor licensing offences,Number,1378
Recorded Crime Offences Under Reservation,2013,Prostitution offences,Number,119
Recorded Crime Offences Under Reservation,2013,"Regulated betting/money, collection/trading offences",Number,321
Recorded Crime Offences Under Reservation,2013,Social code offences (n.e.c.),Number,827
Recorded Crime Offences Under Reservation,2013,"Offences against government, justice procedures and organisation of crime",Number,9168
Recorded Crime Offences Under Reservation,2013,Offences against government and its agents,Number,278
Recorded Crime Offences Under Reservation,2013,Organisation of crime and conspiracy to commit crime,Number,4
Recorded Crime Offences Under Reservation,2013,Perverting the course of justice,Number,62
Recorded Crime Offences Under Reservation,2013,"Offences while in custody, breach of court orders",Number,8824
Recorded Crime Offences Under Reservation,2014,Homicide offences,Number,111
Recorded Crime Offences Under Reservation,2014,Murder,Number,48
Recorded Crime Offences Under Reservation,2014,Manslaughter,Number,11
Recorded Crime Offences Under Reservation,2014,Infanticide,Number,0
Recorded Crime Offences Under Reservation,2014,Dangerous driving leading to death,Number,52
Recorded Crime Offences Under Reservation,2014,Sexual offences,Number,1971
Recorded Crime Offences Under Reservation,2014,Rape of a male or female,Number,483
Recorded Crime Offences Under Reservation,2014,Defilement of a boy or girl less than 17 years old,Number,126
Recorded Crime Offences Under Reservation,2014,Sexual offence involving mentally impaired person,Number,12
Recorded Crime Offences Under Reservation,2014,Aggravated sexual assault,Number,5
Recorded Crime Offences Under Reservation,2014,Sexual assault (not aggravated),Number,1239
Recorded Crime Offences Under Reservation,2014,Other sexual offences,Number,106
Recorded Crime Offences Under Reservation,2014,"Attempts/threats to murder, assaults, harassments and related offences",Number,15168
Recorded Crime Offences Under Reservation,2014,Murder-attempt,Number,15
Recorded Crime Offences Under Reservation,2014,Murder-threat,Number,414
Recorded Crime Offences Under Reservation,2014,Harassment and related offences,Number,1501
Recorded Crime Offences Under Reservation,2014,"Assault causing harm, poisoning",Number,3165
Recorded Crime Offences Under Reservation,2014,Other assault,Number,10073
Recorded Crime Offences Under Reservation,2014,Dangerous or negligent acts,Number,7229
Recorded Crime Offences Under Reservation,2014,Dangerous driving causing serious bodily harm,Number,13
Recorded Crime Offences Under Reservation,2014,Driving/in charge of a vehicle while over legal alcohol limit,Number,6478
Recorded Crime Offences Under Reservation,2014,Driving/in charge of a vehicle under the influence of drugs,Number,265
Recorded Crime Offences Under Reservation,2014,Endangerment with potential for serious harm/death,Number,73
Recorded Crime Offences Under Reservation,2014,"Abandoning a child, child neglect and cruelty",Number,248
Recorded Crime Offences Under Reservation,2014,Unseaworthy/dangerous use of boat or ship,Number,1
Recorded Crime Offences Under Reservation,2014,False alarm/interference with aircraft or air transport facilities,Number,5
Recorded Crime Offences Under Reservation,2014,Endangering traffic offences,Number,146
Recorded Crime Offences Under Reservation,2014,Kidnapping and related offences,Number,124
Recorded Crime Offences Under Reservation,2014,False imprisonment,Number,60
Recorded Crime Offences Under Reservation,2014,Abduction of person under 16 years of age,Number,33
Recorded Crime Offences Under Reservation,2014,Human trafficking offences,Number,31
Recorded Crime Offences Under Reservation,2014,"Robbery, extortion and hijacking offences",Number,2649
Recorded Crime Offences Under Reservation,2014,Robbery of an establishment or institution,Number,848
Recorded Crime Offences Under Reservation,2014,Robbery of cash or goods in transit,Number,26
Recorded Crime Offences Under Reservation,2014,Robbery from the person,Number,1654
Recorded Crime Offences Under Reservation,2014,Blackmail or extortion,Number,22
Recorded Crime Offences Under Reservation,2014,"Carjacking, hijacking/unlawful seizure of aircraft/vessel",Number,99
Recorded Crime Offences Under Reservation,2014,Burglary and related offences,Number,27707
Recorded Crime Offences Under Reservation,2014,Aggravated burglary,Number,315
Recorded Crime Offences Under Reservation,2014,Burglary (not aggravated),Number,26749
Recorded Crime Offences Under Reservation,2014,"Possession of an article (with intent to burgle, steal, demand)",Number,643
Recorded Crime Offences Under Reservation,2014,Theft and related offences,Number,77633
Recorded Crime Offences Under Reservation,2014,Theft/taking of vehicle and related offences,Number,7765
Recorded Crime Offences Under Reservation,2014,Theft from person,Number,5466
Recorded Crime Offences Under Reservation,2014,Theft from shop,Number,20879
Recorded Crime Offences Under Reservation,2014,"Other thefts, handling stolen property",Number,43523
Recorded Crime Offences Under Reservation,2014,"Fraud, deception and related offences",Number,5161
Recorded Crime Offences Under Reservation,2014,Controlled drug offences,Number,15861
Recorded Crime Offences Under Reservation,2014,Importation of drugs,Number,30
Recorded Crime Offences Under Reservation,2014,Cultivation or manufacture of drugs,Number,345
Recorded Crime Offences Under Reservation,2014,Possession of drugs for sale or supply,Number,3561
Recorded Crime Offences Under Reservation,2014,Possession of drugs for personal use,Number,11245
Recorded Crime Offences Under Reservation,2014,Other drug offences,Number,680
Recorded Crime Offences Under Reservation,2014,Weapons and Explosives Offences,Number,2473
Recorded Crime Offences Under Reservation,2014,"Explosives, chemical weapons offences",Number,50
Recorded Crime Offences Under Reservation,2014,Discharging a firearm,Number,134
Recorded Crime Offences Under Reservation,2014,Possession of a firearm,Number,197
Recorded Crime Offences Under Reservation,2014,Offensive weapons offences (n.e.c.),Number,1978
Recorded Crime Offences Under Reservation,2014,Fireworks offences,Number,114
Recorded Crime Offences Under Reservation,2014,Damage to property and to the environment,Number,27319
Recorded Crime Offences Under Reservation,2014,Arson,Number,1721
Recorded Crime Offences Under Reservation,2014,Criminal damage (not arson),Number,25350
Recorded Crime Offences Under Reservation,2014,Litter offences,Number,248
Recorded Crime Offences Under Reservation,2014,Public order and other social code offences,Number,32618
Recorded Crime Offences Under Reservation,2014,Disorderly conduct,Number,26805
Recorded Crime Offences Under Reservation,2014,Trespass offences,Number,2815
Recorded Crime Offences Under Reservation,2014,Liquor licensing offences,Number,1272
Recorded Crime Offences Under Reservation,2014,Prostitution offences,Number,129
Recorded Crime Offences Under Reservation,2014,"Regulated betting/money, collection/trading offences",Number,293
Recorded Crime Offences Under Reservation,2014,Social code offences (n.e.c.),Number,1304
Recorded Crime Offences Under Reservation,2014,"Offences against government, justice procedures and organisation of crime",Number,9764
Recorded Crime Offences Under Reservation,2014,Offences against government and its agents,Number,325
Recorded Crime Offences Under Reservation,2014,Organisation of crime and conspiracy to commit crime,Number,4
Recorded Crime Offences Under Reservation,2014,Perverting the course of justice,Number,55
Recorded Crime Offences Under Reservation,2014,"Offences while in custody, breach of court orders",Number,9380
Recorded Crime Offences Under Reservation,2015,Homicide offences,Number,83
Recorded Crime Offences Under Reservation,2015,Murder,Number,27
Recorded Crime Offences Under Reservation,2015,Manslaughter,Number,9
Recorded Crime Offences Under Reservation,2015,Infanticide,Number,0
Recorded Crime Offences Under Reservation,2015,Dangerous driving leading to death,Number,47
Recorded Crime Offences Under Reservation,2015,Sexual offences,Number,2282
Recorded Crime Offences Under Reservation,2015,Rape of a male or female,Number,516
Recorded Crime Offences Under Reservation,2015,Defilement of a boy or girl less than 17 years old,Number,130
Recorded Crime Offences Under Reservation,2015,Sexual offence involving mentally impaired person,Number,23
Recorded Crime Offences Under Reservation,2015,Aggravated sexual assault,Number,9
Recorded Crime Offences Under Reservation,2015,Sexual assault (not aggravated),Number,1395
Recorded Crime Offences Under Reservation,2015,Other sexual offences,Number,209
Recorded Crime Offences Under Reservation,2015,"Attempts/threats to murder, assaults, harassments and related offences",Number,16913
Recorded Crime Offences Under Reservation,2015,Murder-attempt,Number,13
Recorded Crime Offences Under Reservation,2015,Murder-threat,Number,588
Recorded Crime Offences Under Reservation,2015,Harassment and related offences,Number,1511
Recorded Crime Offences Under Reservation,2015,"Assault causing harm, poisoning",Number,3518
Recorded Crime Offences Under Reservation,2015,Other assault,Number,11283
Recorded Crime Offences Under Reservation,2015,Dangerous or negligent acts,Number,7117
Recorded Crime Offences Under Reservation,2015,Dangerous driving causing serious bodily harm,Number,12
Recorded Crime Offences Under Reservation,2015,Driving/in charge of a vehicle while over legal alcohol limit,Number,6416
Recorded Crime Offences Under Reservation,2015,Driving/in charge of a vehicle under the influence of drugs,Number,220
Recorded Crime Offences Under Reservation,2015,Endangerment with potential for serious harm/death,Number,97
Recorded Crime Offences Under Reservation,2015,"Abandoning a child, child neglect and cruelty",Number,168
Recorded Crime Offences Under Reservation,2015,Unseaworthy/dangerous use of boat or ship,Number,7
Recorded Crime Offences Under Reservation,2015,False alarm/interference with aircraft or air transport facilities,Number,2
Recorded Crime Offences Under Reservation,2015,Endangering traffic offences,Number,195
Recorded Crime Offences Under Reservation,2015,Kidnapping and related offences,Number,152
Recorded Crime Offences Under Reservation,2015,False imprisonment,Number,95
Recorded Crime Offences Under Reservation,2015,Abduction of person under 16 years of age,Number,29
Recorded Crime Offences Under Reservation,2015,Human trafficking offences,Number,28
Recorded Crime Offences Under Reservation,2015,"Robbery, extortion and hijacking offences",Number,2574
Recorded Crime Offences Under Reservation,2015,Robbery of an establishment or institution,Number,928
Recorded Crime Offences Under Reservation,2015,Robbery of cash or goods in transit,Number,18
Recorded Crime Offences Under Reservation,2015,Robbery from the person,Number,1478
Recorded Crime Offences Under Reservation,2015,Blackmail or extortion,Number,54
Recorded Crime Offences Under Reservation,2015,"Carjacking, hijacking/unlawful seizure of aircraft/vessel",Number,96
Recorded Crime Offences Under Reservation,2015,Burglary and related offences,Number,26314
Recorded Crime Offences Under Reservation,2015,Aggravated burglary,Number,268
Recorded Crime Offences Under Reservation,2015,Burglary (not aggravated),Number,25450
Recorded Crime Offences Under Reservation,2015,"Possession of an article (with intent to burgle, steal, demand)",Number,596
Recorded Crime Offences Under Reservation,2015,Theft and related offences,Number,75699
Recorded Crime Offences Under Reservation,2015,Theft/taking of vehicle and related offences,Number,6451
Recorded Crime Offences Under Reservation,2015,Theft from person,Number,5371
Recorded Crime Offences Under Reservation,2015,Theft from shop,Number,22654
Recorded Crime Offences Under Reservation,2015,"Other thefts, handling stolen property",Number,41223
Recorded Crime Offences Under Reservation,2015,"Fraud, deception and related offences",Number,5792
Recorded Crime Offences Under Reservation,2015,Controlled drug offences,Number,15048
Recorded Crime Offences Under Reservation,2015,Importation of drugs,Number,19
Recorded Crime Offences Under Reservation,2015,Cultivation or manufacture of drugs,Number,240
Recorded Crime Offences Under Reservation,2015,Possession of drugs for sale or supply,Number,3366
Recorded Crime Offences Under Reservation,2015,Possession of drugs for personal use,Number,10929
Recorded Crime Offences Under Reservation,2015,Other drug offences,Number,494
Recorded Crime Offences Under Reservation,2015,Weapons and Explosives Offences,Number,2376
Recorded Crime Offences Under Reservation,2015,"Explosives, chemical weapons offences",Number,29
Recorded Crime Offences Under Reservation,2015,Discharging a firearm,Number,151
Recorded Crime Offences Under Reservation,2015,Possession of a firearm,Number,207
Recorded Crime Offences Under Reservation,2015,Offensive weapons offences (n.e.c.),Number,1894
Recorded Crime Offences Under Reservation,2015,Fireworks offences,Number,95
Recorded Crime Offences Under Reservation,2015,Damage to property and to the environment,Number,25944
Recorded Crime Offences Under Reservation,2015,Arson,Number,1722
Recorded Crime Offences Under Reservation,2015,Criminal damage (not arson),Number,24046
Recorded Crime Offences Under Reservation,2015,Litter offences,Number,176
Recorded Crime Offences Under Reservation,2015,Public order and other social code offences,Number,33269
Recorded Crime Offences Under Reservation,2015,Disorderly conduct,Number,25500
Recorded Crime Offences Under Reservation,2015,Trespass offences,Number,2743
Recorded Crime Offences Under Reservation,2015,Liquor licensing offences,Number,1081
Recorded Crime Offences Under Reservation,2015,Prostitution offences,Number,57
Recorded Crime Offences Under Reservation,2015,"Regulated betting/money, collection/trading offences",Number,290
Recorded Crime Offences Under Reservation,2015,Social code offences (n.e.c.),Number,3598
Recorded Crime Offences Under Reservation,2015,"Offences against government, justice procedures and organisation of crime",Number,11449
Recorded Crime Offences Under Reservation,2015,Offences against government and its agents,Number,282
Recorded Crime Offences Under Reservation,2015,Organisation of crime and conspiracy to commit crime,Number,10
Recorded Crime Offences Under Reservation,2015,Perverting the course of justice,Number,59
Recorded Crime Offences Under Reservation,2015,"Offences while in custody, breach of court orders",Number,11098
Recorded Crime Offences Under Reservation,2016,Homicide offences,Number,85
Recorded Crime Offences Under Reservation,2016,Murder,Number,34
Recorded Crime Offences Under Reservation,2016,Manslaughter,Number,8
Recorded Crime Offences Under Reservation,2016,Infanticide,Number,0
Recorded Crime Offences Under Reservation,2016,Dangerous driving leading to death,Number,43
Recorded Crime Offences Under Reservation,2016,Sexual offences,Number,2520
Recorded Crime Offences Under Reservation,2016,Rape of a male or female,Number,516
Recorded Crime Offences Under Reservation,2016,Defilement of a boy or girl less than 17 years old,Number,161
Recorded Crime Offences Under Reservation,2016,Sexual offence involving mentally impaired person,Number,19
Recorded Crime Offences Under Reservation,2016,Aggravated sexual assault,Number,9
Recorded Crime Offences Under Reservation,2016,Sexual assault (not aggravated),Number,1524
Recorded Crime Offences Under Reservation,2016,Other sexual offences,Number,291
Recorded Crime Offences Under Reservation,2016,"Attempts/threats to murder, assaults, harassments and related offences",Number,16709
Recorded Crime Offences Under Reservation,2016,Murder-attempt,Number,24
Recorded Crime Offences Under Reservation,2016,Murder-threat,Number,596
Recorded Crime Offences Under Reservation,2016,Harassment and related offences,Number,1384
Recorded Crime Offences Under Reservation,2016,"Assault causing harm, poisoning",Number,3642
Recorded Crime Offences Under Reservation,2016,Other assault,Number,11063
Recorded Crime Offences Under Reservation,2016,Dangerous or negligent acts,Number,7684
Recorded Crime Offences Under Reservation,2016,Dangerous driving causing serious bodily harm,Number,9
Recorded Crime Offences Under Reservation,2016,Driving/in charge of a vehicle while over legal alcohol limit,Number,6928
Recorded Crime Offences Under Reservation,2016,Driving/in charge of a vehicle under the influence of drugs,Number,217
Recorded Crime Offences Under Reservation,2016,Endangerment with potential for serious harm/death,Number,103
Recorded Crime Offences Under Reservation,2016,"Abandoning a child, child neglect and cruelty",Number,262
Recorded Crime Offences Under Reservation,2016,Unseaworthy/dangerous use of boat or ship,Number,1
Recorded Crime Offences Under Reservation,2016,False alarm/interference with aircraft or air transport facilities,Number,3
Recorded Crime Offences Under Reservation,2016,Endangering traffic offences,Number,161
Recorded Crime Offences Under Reservation,2016,Kidnapping and related offences,Number,123
Recorded Crime Offences Under Reservation,2016,False imprisonment,Number,72
Recorded Crime Offences Under Reservation,2016,Abduction of person under 16 years of age,Number,27
Recorded Crime Offences Under Reservation,2016,Human trafficking offences,Number,24
Recorded Crime Offences Under Reservation,2016,"Robbery, extortion and hijacking offences",Number,2101
Recorded Crime Offences Under Reservation,2016,Robbery of an establishment or institution,Number,702
Recorded Crime Offences Under Reservation,2016,Robbery of cash or goods in transit,Number,28
Recorded Crime Offences Under Reservation,2016,Robbery from the person,Number,1225
Recorded Crime Offences Under Reservation,2016,Blackmail or extortion,Number,69
Recorded Crime Offences Under Reservation,2016,"Carjacking, hijacking/unlawful seizure of aircraft/vessel",Number,77
Recorded Crime Offences Under Reservation,2016,Burglary and related offences,Number,18572
Recorded Crime Offences Under Reservation,2016,Aggravated burglary,Number,210
Recorded Crime Offences Under Reservation,2016,Burglary (not aggravated),Number,17878
Recorded Crime Offences Under Reservation,2016,"Possession of an article (with intent to burgle, steal, demand)",Number,484
Recorded Crime Offences Under Reservation,2016,Theft and related offences,Number,64474
Recorded Crime Offences Under Reservation,2016,Theft/taking of vehicle and related offences,Number,4553
Recorded Crime Offences Under Reservation,2016,Theft from person,Number,4754
Recorded Crime Offences Under Reservation,2016,Theft from shop,Number,21495
Recorded Crime Offences Under Reservation,2016,"Other thefts, handling stolen property",Number,33672
Recorded Crime Offences Under Reservation,2016,"Fraud, deception and related offences",Number,4932
Recorded Crime Offences Under Reservation,2016,Controlled drug offences,Number,16021
Recorded Crime Offences Under Reservation,2016,Importation of drugs,Number,28
Recorded Crime Offences Under Reservation,2016,Cultivation or manufacture of drugs,Number,262
Recorded Crime Offences Under Reservation,2016,Possession of drugs for sale or supply,Number,3625
Recorded Crime Offences Under Reservation,2016,Possession of drugs for personal use,Number,11394
Recorded Crime Offences Under Reservation,2016,Other drug offences,Number,712
Recorded Crime Offences Under Reservation,2016,Weapons and Explosives Offences,Number,2136
Recorded Crime Offences Under Reservation,2016,"Explosives, chemical weapons offences",Number,14
Recorded Crime Offences Under Reservation,2016,Discharging a firearm,Number,101
Recorded Crime Offences Under Reservation,2016,Possession of a firearm,Number,200
Recorded Crime Offences Under Reservation,2016,Offensive weapons offences (n.e.c.),Number,1687
Recorded Crime Offences Under Reservation,2016,Fireworks offences,Number,134
Recorded Crime Offences Under Reservation,2016,Damage to property and to the environment,Number,22174
Recorded Crime Offences Under Reservation,2016,Arson,Number,1598
Recorded Crime Offences Under Reservation,2016,Criminal damage (not arson),Number,20406
Recorded Crime Offences Under Reservation,2016,Litter offences,Number,170
Recorded Crime Offences Under Reservation,2016,Public order and other social code offences,Number,29211
Recorded Crime Offences Under Reservation,2016,Disorderly conduct,Number,24092
Recorded Crime Offences Under Reservation,2016,Trespass offences,Number,2083
Recorded Crime Offences Under Reservation,2016,Liquor licensing offences,Number,904
Recorded Crime Offences Under Reservation,2016,Prostitution offences,Number,34
Recorded Crime Offences Under Reservation,2016,"Regulated betting/money, collection/trading offences",Number,208
Recorded Crime Offences Under Reservation,2016,Social code offences (n.e.c.),Number,1890
Recorded Crime Offences Under Reservation,2016,"Offences against government, justice procedures and organisation of crime",Number,12314
Recorded Crime Offences Under Reservation,2016,Offences against government and its agents,Number,253
Recorded Crime Offences Under Reservation,2016,Organisation of crime and conspiracy to commit crime,Number,5
Recorded Crime Offences Under Reservation,2016,Perverting the course of justice,Number,52
Recorded Crime Offences Under Reservation,2016,"Offences while in custody, breach of court orders",Number,12004
Recorded Crime Offences Under Reservation,2017,Homicide offences,Number,92
Recorded Crime Offences Under Reservation,2017,Murder,Number,39
Recorded Crime Offences Under Reservation,2017,Manslaughter,Number,9
Recorded Crime Offences Under Reservation,2017,Infanticide,Number,0
Recorded Crime Offences Under Reservation,2017,Dangerous driving leading to death,Number,44
Recorded Crime Offences Under Reservation,2017,Sexual offences,Number,2882
Recorded Crime Offences Under Reservation,2017,Rape of a male or female,Number,652
Recorded Crime Offences Under Reservation,2017,Defilement of a boy or girl less than 17 years old,Number,161
Recorded Crime Offences Under Reservation,2017,Sexual offence involving mentally impaired person,Number,29
Recorded Crime Offences Under Reservation,2017,Aggravated sexual assault,Number,6
Recorded Crime Offences Under Reservation,2017,Sexual assault (not aggravated),Number,1685
Recorded Crime Offences Under Reservation,2017,Other sexual offences,Number,349
Recorded Crime Offences Under Reservation,2017,"Attempts/threats to murder, assaults, harassments and related offences",Number,18986
Recorded Crime Offences Under Reservation,2017,Murder-attempt,Number,13
Recorded Crime Offences Under Reservation,2017,Murder-threat,Number,752
Recorded Crime Offences Under Reservation,2017,Harassment and related offences,Number,1597
Recorded Crime Offences Under Reservation,2017,"Assault causing harm, poisoning",Number,4097
Recorded Crime Offences Under Reservation,2017,Other assault,Number,12527
Recorded Crime Offences Under Reservation,2017,Dangerous or negligent acts,Number,8366
Recorded Crime Offences Under Reservation,2017,Dangerous driving causing serious bodily harm,Number,14
Recorded Crime Offences Under Reservation,2017,Driving/in charge of a vehicle while over legal alcohol limit,Number,7361
Recorded Crime Offences Under Reservation,2017,Driving/in charge of a vehicle under the influence of drugs,Number,280
Recorded Crime Offences Under Reservation,2017,Endangerment with potential for serious harm/death,Number,114
Recorded Crime Offences Under Reservation,2017,"Abandoning a child, child neglect and cruelty",Number,384
Recorded Crime Offences Under Reservation,2017,Unseaworthy/dangerous use of boat or ship,Number,4
Recorded Crime Offences Under Reservation,2017,False alarm/interference with aircraft or air transport facilities,Number,6
Recorded Crime Offences Under Reservation,2017,Endangering traffic offences,Number,203
Recorded Crime Offences Under Reservation,2017,Kidnapping and related offences,Number,130
Recorded Crime Offences Under Reservation,2017,False imprisonment,Number,78
Recorded Crime Offences Under Reservation,2017,Abduction of person under 16 years of age,Number,21
Recorded Crime Offences Under Reservation,2017,Human trafficking offences,Number,31
Recorded Crime Offences Under Reservation,2017,"Robbery, extortion and hijacking offences",Number,2180
Recorded Crime Offences Under Reservation,2017,Robbery of an establishment or institution,Number,715
Recorded Crime Offences Under Reservation,2017,Robbery of cash or goods in transit,Number,14
Recorded Crime Offences Under Reservation,2017,Robbery from the person,Number,1289
Recorded Crime Offences Under Reservation,2017,Blackmail or extortion,Number,75
Recorded Crime Offences Under Reservation,2017,"Carjacking, hijacking/unlawful seizure of aircraft/vessel",Number,87
Recorded Crime Offences Under Reservation,2017,Burglary and related offences,Number,19198
Recorded Crime Offences Under Reservation,2017,Aggravated burglary,Number,229
Recorded Crime Offences Under Reservation,2017,Burglary (not aggravated),Number,18533
Recorded Crime Offences Under Reservation,2017,"Possession of an article (with intent to burgle, steal, demand)",Number,436
Recorded Crime Offences Under Reservation,2017,Theft and related offences,Number,69269
Recorded Crime Offences Under Reservation,2017,Theft/taking of vehicle and related offences,Number,4593
Recorded Crime Offences Under Reservation,2017,Theft from person,Number,4939
Recorded Crime Offences Under Reservation,2017,Theft from shop,Number,22793
Recorded Crime Offences Under Reservation,2017,"Other thefts, handling stolen property",Number,36944
Recorded Crime Offences Under Reservation,2017,"Fraud, deception and related offences",Number,5411
Recorded Crime Offences Under Reservation,2017,Controlled drug offences,Number,16762
Recorded Crime Offences Under Reservation,2017,Importation of drugs,Number,21
Recorded Crime Offences Under Reservation,2017,Cultivation or manufacture of drugs,Number,248
Recorded Crime Offences Under Reservation,2017,Possession of drugs for sale or supply,Number,3841
Recorded Crime Offences Under Reservation,2017,Possession of drugs for personal use,Number,12160
Recorded Crime Offences Under Reservation,2017,Other drug offences,Number,492
Recorded Crime Offences Under Reservation,2017,Weapons and Explosives Offences,Number,2379
Recorded Crime Offences Under Reservation,2017,"Explosives, chemical weapons offences",Number,35
Recorded Crime Offences Under Reservation,2017,Discharging a firearm,Number,93
Recorded Crime Offences Under Reservation,2017,Possession of a firearm,Number,211
Recorded Crime Offences Under Reservation,2017,Offensive weapons offences (n.e.c.),Number,1856
Recorded Crime Offences Under Reservation,2017,Fireworks offences,Number,184
Recorded Crime Offences Under Reservation,2017,Damage to property and to the environment,Number,23138
Recorded Crime Offences Under Reservation,2017,Arson,Number,1697
Recorded Crime Offences Under Reservation,2017,Criminal damage (not arson),Number,21281
Recorded Crime Offences Under Reservation,2017,Litter offences,Number,160
Recorded Crime Offences Under Reservation,2017,Public order and other social code offences,Number,31187
